component_id,split,file,target_split,action,reason
13,train,v125_jpg.rf.4785848932e15aeca73ace3883470ad0.jpg,valid,exclude,confirmed_visual_leakage
13,valid,v126_jpg.rf.f4e068679b1ae433c3069a7dfbc8d526.jpg,valid,retain,confirmed_visual_leakage
14,test,537505117_1231140708769187_7367240586862903938_n_jpg.rf.002f110ff39fff4924cd08e745d67875.jpg,test,retain,confirmed_visual_leakage
14,train,536658255_1228198829063375_2956638172294052234_n_jpg.rf.e32c65ca5666c08a311580dc1d85d5d2.jpg,test,exclude,confirmed_visual_leakage
15,test,depositphotos_389234016-stock-photo-african-american-black-w_jpg.rf.b5643025d71cec69e80a54419a10b6ea.jpg,test,retain,confirmed_visual_leakage
15,train,depositphotos_389234016-stock-photo-african-american-black-w-1-_jpg.rf.8d760c6526e73fd94fcbac1293f1d0ec.jpg,test,exclude,confirmed_visual_leakage
16,test,h132_jpg.rf.865574d35a3bee1def4f104616e57ae4.jpg,test,retain,conservative_uncertain_source_family
16,test,h134_jpg.rf.dc8a96baf4fdf9f88bb821d486b641eb.jpg,test,retain,conservative_uncertain_source_family
16,train,h133_jpg.rf.c14710227ea18f0597dffa31ae749920.jpg,test,exclude,conservative_uncertain_source_family
16,train,h135_jpg.rf.901d4508abf6c7c64aad58341190ab4e.jpg,test,exclude,conservative_uncertain_source_family
16,train,h136_jpg.rf.082a23e6fad2952791771ac9f7c66ebc.jpg,test,exclude,conservative_uncertain_source_family
17,test,UntitledCapture0230_grande_png.rf.1496f86c16ef77abc3068c262af148bd.jpg,test,retain,confirmed_visual_leakage
17,train,image18_jpeg.rf.a934dee7af70ca171af799cab251907f.jpg,test,exclude,confirmed_visual_leakage
18,test,istockphoto-1395851322-640x640_jpg.rf.07798a6b910861bbb56d6b659b0009db.jpg,test,retain,confirmed_visual_leakage
18,train,image_634_jpg.rf.228dfe31d8e1508351c3fab4f168f2b4.jpg,test,exclude,confirmed_visual_leakage
19,test,istockphoto-1127738401-612x612_jpg.rf.291af0e3bb2c7d256680081a34b5a000.jpg,test,retain,confirmed_visual_leakage
19,train,istockphoto-1127738426-612x612_jpg.rf.2fc15da3fc49380bb57cfff4b6fc0ab3.jpg,test,exclude,confirmed_visual_leakage
20,test,ppe_0466_jpg.rf.5016b8e78cb2d5133da2ad72ee996e09.jpg,test,retain,confirmed_visual_leakage
20,train,ppe_0466_jpg.rf.759adaad99d922ac51377c1a7c042e90.jpg,test,exclude,confirmed_visual_leakage
21,test,28cd0b218f78403a904309a7bfdfb303_jpg.rf.22cd31dfe401893bf3f0436083df6587.jpg,test,retain,confirmed_visual_leakage
21,valid,28cd0b218f78403a904309a7bfdfb303_jpg.rf.fe4da48e351a4153a58944f287c04037.jpg,test,exclude,confirmed_visual_leakage
22,test,h118_jpg.rf.c64ccf7017228aa36aa78da4be4aeb34.jpg,test,retain,conservative_uncertain_source_family
22,valid,h99_jpg.rf.70548dacdb16974f2ee58cabd9f2172e.jpg,test,exclude,conservative_uncertain_source_family
23,test,43_MOV-1_jpg.rf.c946d71f6d2522dc68a2c3d11e8826d8.jpg,test,retain,cross_split_video_group:43_MOV
23,valid,43_MOV-2_jpg.rf.b75a37ed725e21e9ecdb75369426e606.jpg,test,exclude,cross_split_video_group:43_MOV
24,test,RPReplay_Final1667001201_MP4-454_jpg.rf.e0f54c38917a439d222eebc6c5bf206b.jpg,test,retain,cross_split_video_group:RPReplay_Final1667001201_MP4
24,train,RPReplay_Final1667001201_MP4-100_jpg.rf.f1df920f56e132ccd19c000196c329d8.jpg,test,exclude,cross_split_video_group:RPReplay_Final1667001201_MP4
24,train,RPReplay_Final1667001201_MP4-21_jpg.rf.f8f941961d3033611ab772c3ed8dede2.jpg,test,exclude,cross_split_video_group:RPReplay_Final1667001201_MP4
24,train,RPReplay_Final1667001201_MP4-334_jpg.rf.e221e90adaaf607d6bb05ee08c6c9a24.jpg,test,exclude,cross_split_video_group:RPReplay_Final1667001201_MP4
